pmid,paragraph,abstract,label,registry,trn
32347591,1,Translingual neurostimulation (TLNS) studies indicate improved outcomes in neurodegenerative disease or spinal cord injury patients. This study was designed to assess the safety and efficacy of TLNS plus targeted physical therapy (PT) in people with a chronic balance deficit after mild-to-moderate traumatic brain injury (mmTBI).,OBJECTIVES,NA,NA
32347591,2,"This international, multicenter, randomized study enrolled 122 participants with a chronic balance deficit who had undergone PT following an mmTBI and had plateaued in recovery. Randomized participants received PT plus either high-frequency pulse (HFP; n = 59) or low-frequency pulse (LFP; n = 63) TLNS. The primary efficacy and safety endpoints were the proportion of sensory organization test (SOT) responders (SOT composite score improvement of ≥15 points) and fall frequency after five weeks of treatment, respectively.",MATERIALS AND METHODS,NA,NA
32347591,3,"The proportion of SOT responders was significant in the HFP + PT (71.2%) and LFP + PT (63.5%) groups compared with baseline (p < 0.0005). For the pooled population, the SOT responder rate was 67.2% (p < 0.00005), and there were clinically and statistically significant improvements in SOT composite scores after two and five weeks (p < 0.0005). Both groups had reductions in falls and headache disability index scores. Mean dynamic gait index scores in both groups also significantly increased from baseline at weeks 2 and 5.",RESULTS,NA,NA
32347591,4,"Significant improvements in balance and gait, in addition to headaches, sleep quality, and fall frequency, were observed with TLNS plus targeted PT; in participants who had a chronic balance deficit following an mmTBI and had plateaued on prior conventional physiotherapy.",CONCLUSIONS,NA,NA
32556825,1,(1) To develop a personalized health outcome profile as a feedback tool to improve self-management in people living with chronic conditions such as HIV and (2) to evaluate the interpretability and usefulness of the feedback tool for setting specific goals.,OBJECTIVE,NA,NA
32556825,2,"The development of ""My Personal Brain Health Dashboard"" was inspired by the knowledge-to-action framework. A health outcome profile was computer generated in SAS from the outcome measures, at first and last recorded visits, of each person enrolled in the +BHN cohort from five sites in Canada. The Wilson-Cleary model framed the outcome measurement strategy. Single actionable items with evidence of life impact were chosen. The response option from the original item was the person's value and the optimal level was provided to help persons compare their results to an optimal target. Cognitive interviews were conducted with members of HIV community. Appropriateness of the Dashboard for goal-setting was tested by asking participants to write specific goals according to the Dashboard they were given.",METHODS,NA,NA
32556825,3,"Fifteen respondents were recruited from Montreal and Vancouver. Items most endorsed to be changed were cognition, pain, and body mass index. 80% found the Dashboard useful for setting health-related goals. A total of 85 goals were set, the text of which was mined to create a lexicon for scoring goal quality in future endeavours.",RESULTS,NA,NA
32556825,4,This study was the preparatory phase for a future trial on a method to stimulate setting specific goals. The future trial would provide a thorough understanding of the quality of person-defined goals.,CONCLUSION,NA,NA
32559027,1,"Glutamate transmission is implicated in drug-induced behavioural sensitization and the associated long-lasting increases in mesolimbic output. Metabotropic glutamate type 5 (mGlu5) receptors might be particularly important, but most details are poorly understood.",Background,NA,NA
32559027,2,"We first assessed in mice (n = 51, all male) the effects of repeated dextroamphetamine administration (2.0 mg/kg, i.p.) on locomotor activity and binding of the mGlu5 ligand [3H]ABP688. In a parallel study, in 19 stimulant-drug-naïve healthy human volunteers (14 female) we administered 3 doses of dextroamphetamine (0.3 mg/kg, p.o.) or placebo, followed by a fourth dose 2 weeks later. We measured [11C]ABP688 binding using positron emission tomography before and after the induction phase. We assessed psychomotor and behavioural sensitization using speech rate, eye blink rate and self-report. We measured the localization of mGlu5 relative to synaptic markers in mouse striatum using immunofluorescence.",Methods,NA,NA
32559027,3,"We observed amphetamine-induced psychomotor sensitization in mice and humans. We did not see group differences in mGlu5 availability following 3 pre-challenge amphetamine doses, but group differences did develop in mice administered 5 doses. In mice and humans, individual differences in mGlu5 binding after repeated amphetamine administration were negatively correlated with the extent of behavioural sensitization. In drug-naïve mice, mGlu5 was expressed at 67% of excitatory synapses on dendrites of striatal medium spiny neur.",Results,NA,NA
32559027,4,Correlational results should be interpreted as suggestive because of the limited sample size. We did not assess sex differences.,Limitations,NA,NA
32559027,5,"Together, these results suggest that changes in mGlu5 availability are not part of the earliest neural adaptations in stimulant-induced behavioural sensitization, but low mGlu5 binding might identify a higher propensity for sensitization.",Conclusion,NA,NA
32591633,1,"Neurofilament light chain (NFL) measurement has been gaining strong support as a clinically useful neuronal injury biomarker for various neurodegenerative conditions. However, in Alzheimer's disease (AD), its reflection on regional neuronal injury in the context of amyloid pathology remains unclear. This study included 83 cognitively normal (CN), 160 mild cognitive impairment (MCI), and 73 AD subjects who were further classified based on amyloid-beta (Aβ) status as positive or negative (Aβ+ vs Aβ-). In addition, 13 rats (5 wild type and 8 McGill-R-Thy1-APP transgenic (Tg)) were examined. In the clinical study, reduced precuneus/posterior cingulate cortex and hippocampal grey matter density were significantly associated with increased NFL concentrations in cerebrospinal fluid (CSF) or plasma in MCI Aβ+ and AD Aβ+. Moreover, AD Aβ+ showed a significant association between the reduced grey matter density in the AD-vulnerable regions and increased NFL concentrations in CSF or plasma. Congruently, Tg rats recapitulated and validated the association between CSF NFL and grey matter density in the parietotemporal cortex, entorhinal cortex, and hippocampus in the presence of amyloid pathology. In conclusion, reduced grey matter density and elevated NFL concentrations in CSF and plasma are associated in AD-vulnerable regions in the presence of amyloid positivity in the AD clinical spectrum and amyloid Tg rat model. These findings further support the NFL as a neuronal injury biomarker in the research framework of AD biomarker classification and for the evaluation of therapeutic efficacy in clinical trials.",NA,NA,NA
32633694,1,Reduction in absolute lymphocyte count (ALC) is expected with fingolimod treatment.,BACKGROUND,NA,NA
32633694,2,To evaluate the effect of fingolimod 0.5 mg versus intramuscular interferon β-1a (30 μg) on ALC and its relationship with infections in paediatric-onset multiple sclerosis (POMS) up to 4 years.,OBJECTIVE,NA,NA
32633694,3,"We assessed ALC at baseline, monthly till 3 months, and every 3 months (core phase) and with variable periodicity (extension phase) of Phase 3 PARADIGMS study (N = 215). Incidence rates (IRs) of infection-related adverse events (infAEs)/100 patient-years were analysed by on-study nadir ALC.",METHODS,NA,NA
32633694,4,"With fingolimod, ALC rapidly reduced to 29.9%-34.4% of baseline values within 2 weeks and remained stable thereafter; no relevant changes observed with interferon. IRs of infAEs were 67.6 with fingolimod and 61.8 with interferon; IR ratios with respect to interferon, overall: 1.09, by nadir ALC 0.2-0.4 × 109/L: 1.13 and >0.4 × 109/L: 0.91. Three patients had a single episode of ALC <0.2 × 109/L (core phase). No opportunistic infections were observed and infection risk did not increase during the extension phase.",RESULTS,NA,NA
32633694,5,"In paediatric patients, the overall incidence of infections was comparable between fingolimod and interferon. No association was observed between nadir ALC and infections in POMS, although sample size may have been too small to rule an association.",CONCLUSION,NA,NA
32641181,1,"Children with autism spectrum disorder (ASD) have increased susceptibility to anxiety disorders. Variation in a common ASD symptom, insistence on sameness behaviour, may predict future anxiety symptoms.",BACKGROUND,NA,NA
32641181,2,To describe the joint heterogeneous longitudinal trajectories of insistence on sameness and anxiety in children with ASD and to characterise subgroups at higher risk for anxiety.,AIMS,NA,NA
32641181,3,"In a longitudinal ASD cohort (n = 421), insistence on sameness behaviour was measured using the Autism Diagnostic Interview-Revised at approximately ages 3, 6 and 11 years. Anxiety was quantified at 8 time points between ages 3 and 11 years using the Child Behavior Checklist (CBCL) (parent report). Clusters of participants following similar trajectories were identified using group-based and joint trajectory modelling.",METHOD,NA,NA
32641181,4,"Three insistence on sameness trajectories were identified: (a) 'low-stable' (41.7% of participants), (b) 'moderate-increasing' (52.0%) and (c) 'high-peaking' (i.e. increasing then stabilising/decreasing behaviour) (6.3%). Four anxiety trajectories were identified: (a) 'low-increasing' (51.0%), (b) 'moderate-decreasing' (16.2%), (c) 'moderate-increasing' (19.6%) and (d) 'high-stable' (13.1%). Of those assigned to the 'high-peaking' insistence on sameness trajectory, 95% jointly followed an anxiety trajectory that surpassed the threshold for clinical concern (T-score >65) by middle childhood (anxiety trajectories 3 or 4). Insistence on sameness and anxiety trajectories were similar in severity and direction for 64% of the sample; for 36%, incongruous patterns were seen (e.g. decreasing anxiety and increasing insistence on sameness).",RESULTS,NA,NA
32641181,5,The concurrent assessment of insistence on sameness behaviour and anxiety in ASD may help in understanding current symptom profiles and anticipating future trajectories. High preschool insistence on sameness in particular may be associated with elevated current or future anxiety symptoms.,CONCLUSIONS,NA,NA
32691490,1,"Understanding the rules that govern neuronal dynamics throughout the brain to subserve behavior and cognition remains one of the biggest challenges in neuroscience research. Recent technical advances enable the recording of increasingly larger neuronal populations to produce increasingly more sophisticated datasets. Despite bold and important open-science and data-sharing policies, these datasets tend to include unique data acquisition methods, behaviors, and file structures. Discrepancies between experimental protocols present key challenges in comparing data between laboratories and across different brain regions and species. Here, we discuss our recent efforts to create a standardized and high-throughput research platform to address these issues. The McGill-Mouse-Miniscope (M3) platform is an initiative to combine miniscope calcium imaging with standardized touchscreen-based animal behavioral testing. The goal is to curate an open-source and standardized framework for acquiring, analyzing, and accessing high-quality data of the neuronal dynamics that underly cognition throughout the brain in mice, marmosets, and models of disease. We end with a discussion of future developments and a call for users to adopt this standardized approach.",NA,NA,NA
32737243,1,"Amyloid-β deposition into plaques is a pathologic hallmark of Alzheimer disease appearing years before the onset of symptoms. Although cerebral amyloid-β deposition occurs on a continuum, dichotomization into positive and negative groups has advantages for diagnosis, clinical management, and population enrichment for clinical trials. 18F-AZD4694 (also known as 18F-NAV4694) is an amyloid-β imaging ligand with high affinity for amyloid-β plaques. Despite being used in multiple academic centers, no studies have assessed a quantitative cutoff for amyloid-β positivity using 18F-AZD4694 PET. Methods: We assessed 176 individuals [young adults (n = 22), cognitively unimpaired elderly (n = 89), and cognitively impaired (n = 65)] who underwent amyloid-β PET with 18F-AZD4694, lumbar puncture, structural MRI, and genotyping for APOEε4 18F-AZD4694 values were normalized using the cerebellar gray matter as a reference region. We compared 5 methods for deriving a quantitative threshold for 18F-AZD4694 PET positivity: comparison with young-control SUV ratios (SUVRs), receiver-operating-characteristic (ROC) curves based on clinical classification of cognitively unimpaired elderly versus Alzheimer disease dementia, ROC curves based on visual Aβ-positive/Aβ-negative classification, gaussian mixture modeling, and comparison with cerebrospinal fluid measures of amyloid-β, specifically the Aβ42/Aβ40 ratio. Results: We observed good convergence among the 4 methods: ROC curves based on visual classification (optimal cut point, 1.55 SUVR), ROC curves based on clinical classification (optimal cut point, 1.56 SUVR) gaussian mixture modeling (optimal cut point, 1.55 SUVR), and comparison with cerebrospinal fluid measures of amyloid-β (optimal cut point, 1.51 SUVR). Means and 2 SDs from young controls resulted in a lower threshold (1.33 SUVR) that did not agree with the other methods and labeled most elderly individuals as Aβ-positive. Conclusion: Good convergence was obtained among several methods for determining an optimal cutoff for 18F-AZD4694 PET positivity. Despite conceptual and analytic idiosyncrasies linked with dichotomization of continuous variables, an 18F-AZD4694 threshold of 1.55 SUVR had reliable discriminative accuracy. Although clinical use of amyloid PET is currently by visual inspection of scans, quantitative thresholds may be helpful to arbitrate disagreement among raters or in borderline cases.",NA,NA,NA
32778006,1,"The American Neuropsychiatric Association's Committee on Research assigned the task of defining the most helpful clinical factors and tests in establishing the diagnosis of psychogenic nonepileptic seizures (PNES) during a neuropsychiatric assessment. A systematic review of the literature was conducted using three search engines and specified search terms for PNES and the predetermined clinical factors and diagnostic tests, followed by a selection process with specific criteria. Data extraction results from selected articles are presented for clinical factors (semiology, psychiatric comorbidities, medical comorbidities, psychological traits) and diagnostic tests (EEG, psychometric and neuropsychological measures, prolactin level, clinical neuroimaging, autonomic testing). Semiology with video EEG (vEEG) remains the most valuable tool to determine the diagnosis of PNES. With the exception of semiology, very few studies revealed the predictive value of a clinical factor for PNES, and such findings were isolated and not replicated in most cases. Induction techniques, especially when coupled with vEEG, can lead to a captured event, which then confirms the diagnosis. In the absence of a captured event, postevent prolactin level and personality assessment can support the diagnosis but need to be carefully contextualized with other clinical factors. A comprehensive clinical assessment in patients with suspected PNES can identify several clinical factors and may include a number of tests that can support the diagnosis of PNES. This is especially relevant when the gold standard of a captured event with typical semiology on vEEG cannot be obtained.",NA,NA,NA
32778007,1,"Functional neurological (conversion) disorder (FND) is a prevalent and disabling condition at the intersection of neurology and psychiatry. Advances have been made in elucidating an emerging pathophysiology for motor FND, as well as in identifying evidenced-based physiotherapy and psychotherapy treatments. Despite these gains, important elements of the initial neuropsychiatric assessment of functional movement disorders (FND-movt) and functional limb weakness/paresis (FND-par) have yet to be established. This is an important gap from both diagnostic and treatment planning perspectives. In this article, the authors performed a narrative review to characterize clinically relevant variables across FND-movt and FND-par cohorts, including time course and symptom evolution, precipitating factors, medical and family histories, psychiatric comorbidities, psychosocial factors, physical examination signs, and adjunctive diagnostic tests. Thereafter, the authors propose a preliminary set of clinical content that should be assessed during early-phase patient encounters, in addition to identifying physical signs informing diagnosis and potential use of adjunctive tests for challenging cases. Although clinical history should not be used to make a FND diagnosis, characteristics such as acute onset, precipitating events (e.g., injury and surgery), and a waxing and waning course (including spontaneous remissions) are commonly reported. Active psychiatric symptoms (e.g., depression and anxiety) and ongoing psychosocial stressors also warrant evaluation. Positive physical examination signs (e.g., Hoover's sign and tremor entrainment) are key findings, as one of the DSM-5 diagnostic criteria. The neuropsychiatric assessment proposed emphasizes diagnosing FND by using ""rule-in"" physical signs while also considering psychiatric and psychosocial factors to aid in the development of a patient-centered treatment plan.",NA,NA,NA
32873436,1,"The LRRK2 gene has rare (p.G2019S) and common risk variants for Parkinson's disease (PD). DNM3 has previously been reported as a genetic modifier of the age at onset in PD patients carrying the LRRK2 p.G2019S mutation. We analyzed this effect in a new cohort of LRRK2 p.G2019S heterozygotes (n = 724) and meta-analyzed our data with previously published data (n = 754). VAMP4 is in close proximity to DNM3, and was associated with PD in a recent study, so it is possible that variants in this gene may be important. We also analyzed the effect of VAMP4 rs11578699 on LRRK2 penetrance. Our analysis of DNM3 in previously unpublished data does not show an effect on age at onset in LRRK2 p.G2019S carriers; however, the inter-study heterogeneity may indicate ethnic or population-specific effects of DNM3. There was no evidence for linkage disequilibrium between DNM3 and VAMP4. Analysis of sporadic patients stratified by the risk variant LRRK2 rs10878226 indicates a possible interaction between common variation in LRRK2 and VAMP4 in disease risk.",NA,NA,NA
32893416,1,"The genetics care pathway experienced by families affected by autism spectrum disorder (ASD) around the time of diagnosis is currently uncharacterized and potentially variable across contexts. The lack of consensus on outcome measures to capture the impact of genetic services for these families shows a gap in understanding and optimizing this genetics care pathway. The Genetic Counseling Outcome Scale (GCOS-24) is a validated outcome measure of clinical genetics services. The current study aims to adapt and validate the GCOS-24 as an outcome measure in the context routine genetic testing in ASD and related conditions. Families seen for their child's developmental evaluation for ASD and related conditions were invited to participate in a genomics cohort between 2016 and 2018. Families (n = 111) completed the mGCOS-24 (modified GCOS-24), adapted from the original GCOS-24 by clinicians working in the target population's routine care pathway. The mGCOS-24 has acceptable internal consistency (Cronbach's α = 0.84) and high test-retest reliability (ICC = 0.88). It also inversely correlates with stress as measured by Perceived Stress Scale (PSS-10) and distress, as measured by the Distress Thermometer, rs ≥ 0.39, ps < 0.001. The mGCOS-24 had adequate readability, as supported by cognitive interviews completed by a sub-sample of five mothers of a child with ASD. Together, our findings show that the mGCOS-24 has good validity for the target population. Preliminary characterization of the genetics care pathway in this population revealed remarkable variability in pre-test counseling and limited post-test counseling. The use of the mGCOS-24 as an outcome measure is useful in filling some of these gaps by offering a way to assess, and in the future, optimize the genetics care pathway for families affected by autism and related neurodevelopmental conditions.",NA,NA,NA
32909238,1,"In contrast to cardiac sympathetic activity which can be assessed with established PET tracers, there are currently no suitable radioligands to measure cardiac parasympathetic (cholinergic) activity. A radioligand able to measure cardiac cholinergic activity would be an invaluable clinical and research tool since cholinergic dysfunction has been associated with a wide array of pathologies (e.g., chronic heart failure, myocardial infarction, arrythmias). [18F]Fluoroethoxybenzovesamicol (FEOBV) is a cholinergic radiotracer that has been extensively validated in the brain. Whether FEOBV PET can be used to assess cholinergic activity in the heart is not known. Hence, this study aimed to evaluate the properties of FEOBV for cardiac PET imaging and cholinergic activity mapping. PET data were collected for 40 minutes after injection of 230 ± 50 MBq of FEOBV in four healthy participants (1 female; Age: 37 ± 10; BMI: 25 ± 2). Dynamic LV time activity curves were fitted with Logan graphical, 1-tissue compartment, and 2-tissue compartment models, yielding similar distribution volume estimates for each participant. Our initial data show that FEOBV PET has favorable tracer kinetics for quantification of cholinergic activity and is a promising new method for assessing parasympathetic function in the heart.",NA,NA,NA
32910475,1,"Mitochondria are dynamic organelles that produce energy and molecular precursors that are essential for myelin synthesis. Unlike in neurons, mitochondria in oligodendrocytes increase intracellular movement in response to glutamatergic activation and are more susceptible to oxidative stress than in astrocytes or microglia. The signaling pathways that regulate these cell type-specific mitochondrial responses in oligodendrocytes are not understood. Here, we visualized mitochondria migrating through thin cytoplasmic channels crossing myelin basic protein-positive compacted membranes and localized within paranodal loop cytoplasm. We hypothesized that local extracellular enrichment of netrin-1 might regulate the recruitment and function of paranodal proteins and organelles, including mitochondria. We identified rapid recruitment of mitochondria and paranodal proteins, including neurofascin 155 (NF155) and the netrin receptor deleted in colorectal carcinoma (DCC), to sites of contact between oligodendrocytes and netrin-1-coated microbeads in vitro. We provide evidence that Src-family kinase activation and Rho-associated protein kinase (ROCK) inhibition downstream of netrin-1 induces mitochondrial elongation, hyperpolarization of the mitochondrial inner membrane, and increases glycolysis. Our findings identify a signaling mechanism in oligodendrocytes that is sufficient to locally recruit paranodal proteins and regulate the subcellular localization, morphology, and function of mitochondria.",NA,NA,NA
32911998,1,"Deleterious copy number variants (CNVs) are identified in up to 20% of individuals with autism. However, levels of autism risk conferred by most rare CNVs remain unknown. The authors recently developed statistical models to estimate the effect size on IQ of all CNVs, including undocumented ones. In this study, the authors extended this model to autism susceptibility.",OBJECTIVE,NA,NA
32911998,2,"The authors identified CNVs in two autism populations (Simons Simplex Collection and MSSNG) and two unselected populations (IMAGEN and Saguenay Youth Study). Statistical models were used to test nine quantitative variables associated with genes encompassed in CNVs to explain their effects on IQ, autism susceptibility, and behavioral domains.",METHODS,NA,NA
32911998,3,"The ""probability of being loss-of-function intolerant"" (pLI) best explains the effect of CNVs on IQ and autism risk. Deleting 1 point of pLI decreases IQ by 2.6 points in autism and unselected populations. The effect of duplications on IQ is threefold smaller. Autism susceptibility increases when deleting or duplicating any point of pLI. This is true for individuals with high or low IQ and after removing de novo and known recurrent neuropsychiatric CNVs. When CNV effects on IQ are accounted for, autism susceptibility remains mostly unchanged for duplications but decreases for deletions. Model estimates for autism risk overlap with previously published observations. Deletions and duplications differentially affect social communication, behavior, and phonological memory, whereas both equally affect motor skills.",RESULTS,NA,NA
32911998,4,"Autism risk conferred by duplications is less influenced by IQ compared with deletions. The model applied in this study, trained on CNVs encompassing >4,500 genes, suggests highly polygenic properties of gene dosage with respect to autism risk and IQ loss. These models will help to interpret CNVs identified in the clinic.",CONCLUSIONS,NA,NA
32925088,1,"We report the recruitment activities and outcomes of a multi-disease neuromuscular patient registry in Canada. The Canadian Neuromuscular Disease Registry (CNDR) registers individuals across Canada with a confirmed diagnosis of a neuromuscular disease. Diagnosis and contact information are collected across all diseases and detailed prospective data is collected for 5 specific diseases: Amyotrophic Lateral Sclerosis (ALS), Duchenne Muscular Dystrophy (DMD), Myotonic Dystrophy (DM), Limb Girdle Muscular Dystrophy (LGMD), and Spinal Muscular Atrophy (SMA). Since 2010, the CNDR has registered 4306 patients (1154 pediatric and 3148 adult) with 91 different neuromuscular diagnoses and has facilitated 125 projects (73 academic, 3 not-for-profit, 3 government, and 46 commercial) using registry data. In conclusion, the CNDR is an effective and productive pan-neuromuscular registry that has successfully facilitated a substantial number of studies over the past 10 years.",NA,NA,NA
32956712,1,"There is increasing interest in the effects of sleep and sleep disturbances on the brain, particularly in relation to aging and neurodegenerative processes. Parkinson disease (PD) is the second most common neurodegenerative disorder, with growing prevalence worldwide. Sleep disorders, including sleep-disordered breathing (SDB), are among the most frequent non-motor manifestations of PD. They can substantially impair quality of life and possibly affect the course of the disease. This article reviews the etiology, implications, and management of sleep disturbances in PD, such as excessive daytime sleepiness, insomnia, restless legs syndrome, rapid eye movement sleep behavior disorder, and SDB. Also briefly explored is the potential role of sleep disorders, including SDB, in the progression of neurodegeneration.",NA,NA,NA
